"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Source","Quick Assist - Assign to var","Ctrl+2 F","Editing JavaScript Source"
"Task Editor","Maximize Part","Shift+Ctrl+M","In Tasks Editor"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Spy","Plug-in Selection Spy","Shift+Alt+F1","In Dialogs and Windows"
"Database Tools","Execute All","Ctrl+Alt+X","Editing SQL"
"Refactor - JavaScript","Change Function Signature","Shift+Alt+C","JavaScript View"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source"
"ASA 9.x table schema editor","Copy","Alt+C","In Windows"
"Database Tools","Execute Current Text","Alt+S","Editing SQL"
"Terminal view commands","Terminal view insert","Alt+W","Terminal widget context"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Refactor - JavaScript","Extract Function","Shift+Alt+M","JavaScript View"
"Window","Quick Access","Ctrl+3","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Navigate","Next Page","Ctrl+F5","Using Web Page Editor"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Task","New Subtask","Shift+Insert","In Tasks View"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","In Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing in Structured Text Editors"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","In Windows"
"Views","Show View (Type Hierarchy)","Shift+Alt+Q T","In Windows"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Search","References in Workspace","Shift+Ctrl+G","JavaScript View"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Run/Debug","Run Android Application","Shift+Alt+A R","In Windows"
"Project","Build All","Ctrl+B","In Windows"
"Edit","Occurrences in File","Shift+Ctrl+A","Editing in Structured Text Editors"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Text Editing","Duplicate Lines","Ctrl+Up Ctrl+Up","Editing Text"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing JavaScript Source"
"Database Tools","Debug","Ctrl+Alt+D","Editing SQL"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","JavaScript View"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Terminal view commands","Terminal view insert","Alt+F","Terminal widget context"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing JavaScript Source"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Source","Surround With Quick Menu","Shift+Alt+Z","JavaScript View"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing JavaScript Source"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Task","Mark Task Complete","Shift+Alt+C","In Tasks Editor"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Task","Mark Task Complete","Shift+Alt+C","In Tasks View"
"Source","Add Import","Shift+Ctrl+M","Editing JavaScript Source"
"Database Tools","Execute Selected Text","Alt+X","Editing SQL"
"Run/Debug","Run Eclipse Application","Shift+Alt+X E","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Edit","Add Block Comment","Shift+Ctrl+/","Editing in Structured Text Editors"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Database Tools","Goto Matching Token","Shift+Ctrl+P","Editing SQL"
"Edit","Delete","Delete","In Windows"
"SQL Results View","Remove Result","Ctrl+Delete","In Windows"
"Refactor - JavaScript","Show Refactor Quick Menu","Shift+Alt+T","JavaScript View"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Terminal view commands","Terminal view insert","Alt+R","Terminal widget context"
"Database Tools","Run","Ctrl+Alt+R","Editing SQL"
"File","Properties","Alt+Enter","In Windows"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Run/Debug","Resume","F8","Debugging"
"Refactor - JavaScript","Rename - Refactoring ","Shift+Alt+R","JavaScript View"
"Source","Toggle Comment","Esc Ctrl+C","Editing Properties Files"
"Views","Show View (Package Explorer)","Shift+Alt+Q P","In Windows"
"Navigate","Search Repository for Task","Shift+Ctrl+F12","In Windows"
"Run/Debug","Run JUnit Test","Ctrl+J","Editing Text"
"ASA 9.x table schema editor","Paste","Alt+V","In Windows"
"SQL Results View","Remove All Visible Results","Shift+Delete","In Windows"
"Views","Show View ()","Shift+Alt+Q J","JavaScript View"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Task","Mark Task Unread","Shift+Alt+U","In Tasks View"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing JavaScript Source"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing JavaScript Source"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Run/Debug","Step Over","F6","Debugging"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"Focused UI","Show Context Quick View","Shift+Ctrl+Alt+Right","In Windows"
"Task","Mark Task Incomplete","Shift+Alt+I","In Tasks Editor"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Navigate","Previous","Ctrl+,","In Windows"
"Edit","Find Next","Ctrl+K","Editing Text"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Task","Quick Outline","Ctrl+O","In Tasks Editor"
"Source","Toggle Comment","Ctrl+7","Editing JavaScript Source"
"Focused UI","Make Landmark","Shift+Ctrl+Alt+Up","In Windows"
"Run/Debug","Run","Ctrl+F11","In Windows"
"File","Refresh","F5","In Windows"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"Terminal view commands","Terminal view insert","Alt+P","Terminal widget context"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Run/Debug","Run Maven Build","Shift+Alt+X M","In Windows"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Navigate","Open Plug-in Artifact","Shift+Ctrl+A","In Windows"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"EMF Code Generation","Generate Code","Shift+Alt+G","In Windows"
